sim,region_name,day,A,alpha,delta,gamma,mew,mew1,N,Vp,Vf,S,E,I,R
0,ARGENTINA,1,700000,0.000011,1.27,0.84,0.15,0.163,44493400,0.65,0.55,27646200,13076000,743498,3027720
0,SPAIN,1,700000,0.000010,1.25,0.85,0.15,0.160,45501100,0.70,0.60,29619300,11960700,678613,3242460
0,ARGENTINA,2,700000,0.000011,1.27,0.84,0.15,0.163,43890000,0.65,0.55,2844380,33533100,3618760,3893800
0,SPAIN,2,700000,0.000010,1.25,0.85,0.15,0.160,44886000,0.70,0.60,4119560,33061600,3401200,4303560
0,ARGENTINA,3,700000,0.000011,1.27,0.84,0.15,0.163,43214900,0.65,0.55,14091,31561400,7300190,4339160
0,SPAIN,3,700000,0.000010,1.25,0.85,0.15,0.160,44225200,0.70,0.60,28955,32429300,7023570,4743390
0,ARGENTINA,4,700000,0.000011,1.27,0.84,0.15,0.163,42522400,0.65,0.55,6429,27517000,10004600,4994420
0,SPAIN,4,700000,0.000010,1.25,0.85,0.15,0.160,43522500,0.70,0.60,7209,28288000,9833610,5393690
0,ARGENTINA,5,700000,0.000011,1.27,0.84,0.15,0.163,41802800,0.65,0.55,5320,23994200,11972300,5831100
0,SPAIN,5,700000,0.000010,1.25,0.85,0.15,0.160,42791600,0.70,0.60,5896,24668400,11879000,6238210
0,ARGENTINA,6,700000,0.000011,1.27,0.84,0.15,0.163,41039800,0.65,0.55,4740,20824800,13381000,6829250
0,SPAIN,6,700000,0.000010,1.25,0.85,0.15,0.160,42043800,0.70,0.60,5241,21519900,13302600,7215990
0,ARGENTINA,7,700000,0.000011,1.27,0.84,0.15,0.163,40296800,0.65,0.55,4442,18173900,14248300,7870130
0,SPAIN,7,700000,0.000010,1.25,0.85,0.15,0.160,41288300,0.70,0.60,4889,18781400,14224100,8277850
0,ARGENTINA,8,700000,0.000011,1.27,0.84,0.15,0.163,39526400,0.65,0.55,4287,15789100,14741700,8991250
0,SPAIN,8,700000,0.000010,1.25,0.85,0.15,0.160,40532300,0.70,0.60,4710,16399500,14743500,9384560
0,ARGENTINA,9,700000,0.000011,1.27,0.84,0.15,0.163,38789300,0.65,0.55,4235,13794600,14907600,10082900
0,SPAIN,9,700000,0.000010,1.25,0.85,0.15,0.160,39781700,0.70,0.60,4641,14327900,14944000,10505100
0,ARGENTINA,10,700000,0.000011,1.27,0.84,0.15,0.163,38062100,0.65,0.55,4252,12060100,14835600,11162200
